sequence	cell_diameter	cell_length	doubling_h	growth_tmp	optimum_tmp	optimum_ph	genome_size	gc_content	coding_genes	rRNA16S_genes	tRNA_genes	gram_stain	sporulation	motility	range_salinity	facultative_respiration	anaerobic_respiration	aerobic_respiration	mesophilic_range_tmp	thermophilic_range_tmp	psychrophilic_range_tmp	bacillus_cell_shape	coccus_cell_shape	filament_cell_shape	coccobacillus_cell_shape	vibrio_cell_shape	spiral_cell_shape
OTU1	-0.09691001300805639	0.20411998265592482	0.16731733474817606	37	36.1	7	5582831.2	41.829	4250.333	7	81.75	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU2	-0.09691001300805639	0.20411998265592482	0.16731733474817606	37	36.1	7	5582831.2	41.829	4250.333	7	81.75	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU3	-0.3010299956639812	-0.5228787452803376	0.6794278966121189	37	37	7.15	3022580	56.239	2678.333	3	63.5	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU4	0.0	0.6020599913279624	0.17897694729316943	37	37	6.8	2374244.56	58.777	1891.625	2.385	54.231	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU5	-0.3010299956639812	-0.5228787452803376	0.6794278966121189	37	37	7.15	3022580	56.239	2678.333	3	63.5	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU6	0.0	0.0	0.25527250510330607	37	37	6.5	4045793.75	41.5	3155	5	65	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU7	-0.28735029837278864	1.0	-0.41680122603137726	35	37	7.2	4695144	50.443	4494	7	84	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0
OTU8	-0.1549019599857432	0.17609125905568124	0.17897694729316943	37	37	6.5	2297695.625	56.35	1800	6	54	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU9	-0.09691001300805639	0.17609125905568124	-0.3565473235138126	36	37	7	5430286.285	42.36	4347.273	6	72.714	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU10	-0.6989700043360187	0.0	1.021189299069938	37	39	7.6	3460903.4	42.833	3155	5	72	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU11	0.146128035678238	0.3979400086720376	0.16731733474817606	37	37	7.7	4794552.5	43.713	4897.8	5	70.333	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU12	-0.09691001300805639	0.0	0.16731733474817606	37	37	7	4762432.5	46.358	5306	4	63	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU13	-0.3979400086720376	0.2304489213782739	0.3010299956639812	37	37	7.6	4238600.143	41.873	3554	5	59	1	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU14	-0.3010299956639812	0.2304489213782739	0.3010299956639812	37	37	6.2	3460021.133	40.483	3210.4	5	59	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU15	0.0	0.6020599913279624	0.17897694729316943	37	37	6.8	2194858.05	59.319	1698.667	4.667	54.167	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU16	-0.1549019599857432	-0.1549019599857432	-0.3010299956639812	37	39	7	2321684.25	41.05	1811	3	55	1	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
OTU17	-0.09691001300805639	0.0	0.16731733474817606	37	37	7	4762432.5	46.358	5306	4	63	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU18	-0.0809219076239261	-0.022276394711152253	0.16731733474817606	37	34.75	8	3507873	44.9	2878	4	48	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU19	-0.6020599913279624	0.33243845991560533	-0.3565473235138126	37	34.75	6.8	6687116.12	42.024	4803.75	5	70	0	0	0	0	0	1	0	1	0	0	1	0	0	0	0	0
OTU20	-0.5228787452803376	-0.5228787452803376	0.6794278966121189	37	37	7.15	3241569	57.918	2678.333	3	63.5	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0
